# Best compromise solution from multi-objective optimization
# Objectives: fi_mse, spikes_outside_penalty, pot_mean_mse, delay_penalty
# Losses: [321.42253873   0.         552.84840196 118.52768   ]
dt	0.04
T	600.0
delay	200.0
slope_time	2.0
Vthres	0.0
Tref	2.0
R	1.612864254542541
tRC	9.11949440983664
Vrest	-61.65089535667446
EL	-63.40094260244646
Ew	-63.40094260244646
Vreset	-56.029404462951184
VTdelta	3.6348343090383852
VT	-52.3945701539128
Del	5.229599380676678
tau_w	166.4320462285472
a	2.8379481227691166
b	11.509238553976846
